student,mode,person1,person2,person3,person4,person5,person6,person7,person8,person9,person10,relation1_1,relation2_1,relation3_1,interact1_1,interact2_1,interact3_1,purpose1_1,purpose2_1,purpose3_1,relation1_2,relation2_2,relation3_2,interact1_2,interact2_2,interact3_2,purpose1_2,purpose2_2,purpose3_2,relation1_3,relation2_3,relation3_3,interact1_3,interact2_3,interact3_3,purpose1_3,purpose2_3,purpose3_3,relation1_4,relation2_4,relation3_4,interact1_4,interact2_4,interact3_4,purpose1_4,purpose2_4,purpose3_4,relation1_5,relation2_5,relation3_5,interact1_5,interact2_5,interact3_5,purpose1_5,purpose2_5,purpose3_5,relation1_6,relation2_6,relation3_6,interact1_6,interact2_6,interact3_6,purpose1_6,purpose2_6,purpose3_6,relation1_7,relation2_7,relation3_7,interact1_7,interact2_7,interact3_7,purpose1_7,purpose2_7,purpose3_7,relation1_8,relation2_8,relation3_8,interact1_8,interact2_8,interact3_8,purpose1_8,purpose2_8,purpose3_8,relation1_9,relation2_9,relation3_9,interact1_9,interact2_9,interact3_9,purpose1_9,purpose2_9,purpose3_9,relation1_10,relation2_10,relation3_10,interact1_10,interact2_10,interact3_10,purpose1_10,purpose2_10,purpose3_10,advisor1,advisor2,year,1styr,gradplan,praccom,propprac,passprac,comps,propdiss,defdiss,hope1,hope2,hope3
13101,2,13107,16207,12102,,,,,,,,7,10,2,1,3,10,9,7,8,,10,6,1,3,10,8,2,5,6,7,,1,,,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,,4,1,1,1,1,1,1,,,3,5,4
14205,1,10101,12202,14211,14208,14204,12201,,,,,8,7,3,1,6,4,9,1,7,8,3,12,1,3,10,9,1,5,2,7,8,1,6,3,7,2,8,2,7,8,1,6,3,7,2,5,2,7,8,1,6,3,9,5,2,3,8,7,1,3,10,9,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30108,,3,1,1,1,1,,,,,1,2,4
13103,2,12102,12104,13102,14102,15103,13110,14103,15105,20110,,7,3,5,1,4,6,2,5,,3,8,5,10,1,,9,5,,2,8,,1,2,,9,7,,5,2,8,1,4,,9,3,,5,8,,1,11,,7,9,,2,,,1,,,7,,,3,8,1,1,10,,7,9,,5,,,1,5,11,9,5,1,3,5,,1,10,4,9,5,,,,,,,,,,,30102,,4,1,1,1,1,1,,,,6,1,4
14211,1,,,,12202,,,,,,,8,2,7,1,3,6,2,9,7,6,8,11,3,10,4,7,2,7,11,11,7,3,10,6,2,8,9,3,8,7,3,10,1,9,7,5,5,6,8,3,10,7,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30114,30112,3,1,1,1,1,,,,,2,4,3
14101,2,12104,12102,20110,15101,14103,14102,15104,13103,13102,,8,5,7,1,3,10,5,7,9,7,8,10,1,4,10,5,9,7,7,8,5,1,10,3,9,2,7,5,8,3,1,3,10,9,3,5,7,3,1,1,4,10,7,9,4,7,3,1,1,4,10,7,9,4,7,5,8,1,10,4,7,8,3,3,5,7,1,3,10,8,7,5,7,3,17,1,10,,7,1,9,,,,,,,,,,30113,,3,1,1,1,1,,,,,4,3,2
13108,2,13110,13102,13106,14202,13103,13104,,,,,10,2,9,1,3,5,8,3,2,7,2,8,1,3,2,7,9,3,1,10,8,3,2,5,7,8,3,3,10,5,3,5,6,8,7,5,1,7,8,1,4,6,7,9,5,1,2,8,1,10,3,7,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,3,1,1,1,1,1,,,,3,5,4
15101,2,12104,14101,15104,,,,,,,,5,8,7,1,3,10,9,8,3,5,4,8,1,3,10,8,5,9,2,7,9,1,3,10,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30113,,2,1,,,,,,,,2,1,4
13106,2,13108,13110,13107,,,,,,,,2,1,10,3,1,10,7,9,8,2,1,7,6,10,1,5,7,1,2,1,7,1,4,6,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30107,,3,1,1,1,1,1,1,1,,1,4,2
13102,2,14103,13108,20107,13110,12102,13107,13109,,,,7,8,,1,4,3,7,9,5,2,8,7,1,4,3,7,9,,8,11,22,2,1,3,1,2,5,2,17,,1,3,10,8,5,,3,25,,10,1,,9,5,,2,,,1,,,9,5,,2,8,17,1,10,,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,3,1,1,1,1,1,1,,,2,4,6
12203,1,12202,12201,12205,12204,10206,10203,10101,,,,7,8,10,1,2,10,9,2,7,2,8,7,1,10,6,7,9,2,7,2,8,1,4,10,9,2,9,2,7,8,1,6,10,9,7,1,3,8,12,1,6,10,1,9,10,7,3,8,1,5,10,8,9,2,3,8,12,10,6,1,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30105,,5,1,1,1,1,1,1,1,,4,1,6
13110,2,12102,13107,13109,14103,13102,13108,14202,10101,13101,,10,7,8,1,4,11,2,7,5,2,7,8,1,4,3,7,9,2,2,7,8,1,4,10,2,7,9,17,3,7,1,4,10,5,2,7,17,2,7,1,10,4,5,2,7,2,10,7,1,3,10,2,7,5,9,3,7,3,1,4,3,7,5,17,8,7,1,10,6,9,5,7,2,7,4,1,6,4,7,9,1,,,,,,,,,,30117,,3,1,1,1,1,1,1,,,3,4,1
15105,2,15103,13109,15101,14102,13107,13103,,,,,8,7,4,1,4,3,2,8,5,7,8,6,1,3,4,7,9,5,7,3,8,1,2,4,2,7,8,7,3,3,1,4,10,7,9,1,7,8,5,1,,,1,7,9,3,5,10,1,4,10,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,,2,1,,,,,,,,4,3,2
10205,1,10206,10207,10101,,,,,,,,8,2,7,4,6,2,9,5,7,2,1,7,2,4,6,2,3,5,1,2,7,4,6,2,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30102,,6,1,1,1,1,1,1,1,1,1,2,6
14204,1,14211,14208,14205,14210,14209,12102,,,,,2,8,7,1,7,4,3,2,5,2,8,7,1,7,2,2,3,9,2,8,7,1,3,4,9,3,2,2,8,7,1,6,10,3,2,7,2,8,7,1,6,3,2,3,7,3,8,7,1,6,12,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30104,,3,1,1,1,1,,,,,2,1,3
12204,1,,,,,12201,12102,,12202,,,13,10,8,7,3,5,2,9,8,15,8,8,3,4,2,2,7,9,19,8,8,3,10,1,2,9,1,5,8,5,7,1,5,2,4,3,7,1,8,1,10,4,7,9,11,7,8,27,10,1,6,7,1,9,8,8,7,3,10,1,7,4,9,1,2,8,10,6,2,7,1,9,29,8,29,10,1,6,9,4,1,8,29,25,10,1,6,7,9,1,30107,,5,1,1,1,1,1,1,,,4,5,10
16202,2,16201,16203,16206,16208,16205,16204,16209,16207,,,2,1,,1,11,10,2,3,9,2,1,8,1,11,6,8,2,3,2,1,8,1,11,10,8,2,3,2,1,8,1,5,11,2,8,3,2,1,8,1,11,6,2,3,8,2,1,8,1,11,6,2,3,8,2,1,8,1,6,11,2,3,8,2,1,8,1,11,6,2,3,8,,,,,,,,,,,,,,,,,,,30116,,1,,,,,,,,,2,3,1
12102,2,12104,13110,14101,13109,15104,14103,13107,15101,20103,11104,2,7,10,1,10,12,8,9,5,10,5,7,1,10,4,8,9,5,7,5,10,1,10,4,4,6,8,7,2,,1,10,1,3,8,9,7,5,6,1,4,1,6,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,5,1,1,1,1,1,1,,,3,5,2
16201,1,16207,16203,12102,16206,12202,16209,16205,16208,16204,16202,2,4,7,1,11,6,2,8,9,2,8,1,1,11,6,2,9,8,3,8,12,1,11,6,9,7,2,2,8,1,1,11,6,2,7,8,8,3,12,10,1,11,9,5,7,2,7,1,1,11,6,7,2,8,2,1,7,1,11,6,8,2,10,2,1,12,1,11,6,8,9,2,2,1,12,1,11,6,7,8,2,2,1,12,1,11,6,2,8,9,30113,,1,,,,,,,,,5,,2
13107,2,13109,13110,13101,11101,14102,14103,11104,,,,7,8,2,1,10,4,9,11,7,2,8,10,1,10,4,7,9,8,7,2,8,1,10,4,7,9,8,8,3,7,1,6,4,9,2,7,7,8,2,1,6,4,7,8,9,5,7,8,1,4,6,7,9,2,5,3,7,1,4,10,9,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,30114,30101,3,1,1,1,1,1,1,,,1,9,3
12206,1,12201,12203,12204,12202,12205,,,,,,8,7,2,1,3,6,7,9,1,2,1,12,3,1,10,1,9,10,2,7,12,1,3,12,7,9,10,2,8,12,1,10,3,1,9,,2,8,12,1,3,10,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30105,,4,1,1,1,,,,,,4,1,7
20112,2,20111,12101,20105,,,,,,,,5,12,8,1,10,12,9,3,8,5,10,12,1,,4,3,9,10,5,1,7,1,2,10,9,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30111,,8,1,1,1,1,1,1,1,1,3,2,1
10206,1,10205,10101,10207,10204,,,,,,,8,2,7,1,2,4,9,5,7,2,8,7,4,6,3,9,5,7,2,8,7,10,6,4,9,5,7,2,7,1,6,10,,9,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30109,,7,1,1,1,1,1,1,1,,1,6,4
10201,1,20108,10202,10101,,,,,,,,11,3,12,3,6,10,2,3,9,2,1,7,1,10,6,9,7,,20,21,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,6,1,1,1,1,1,1,1,,2,1,3
20102,2,11101,13108,13104,13103,13105,13110,15104,20106,20103,10101,5,11,8,1,7,3,7,2,8,2,16,8,1,6,3,2,7,9,2,1,16,7,3,3,2,7,9,2,1,7,1,3,3,2,7,9,2,1,8,1,3,10,2,7,9,2,1,8,1,3,10,2,7,9,17,3,8,1,3,10,8,28,5,17,3,7,6,1,3,8,5,9,17,3,8,1,3,10,8,7,9,18,3,8,1,6,10,1,2,9,30104,,3,1,1,1,1,1,,,,4,3,5
14206,2,14209,12202,10101,14208,14203,14202,14210,14205,14201,12201,2,7,8,1,4,10,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14209,2,10101,12202,12201,14207,14203,14208,14210,14206,14201,14211,8,3,,3,1,10,9,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30106,,,,,,,,,,,,,
16203,1,16201,16206,16208,16209,12102,12202,,,,,7,8,2,1,11,6,2,7,5,7,8,2,1,11,6,7,2,9,2,1,7,1,11,6,2,5,9,2,1,7,1,11,6,2,5,9,18,3,7,1,11,,9,5,7,8,3,18,3,10,1,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,1,,,,,,,,,4,1,5
14103,1,12102,13102,13110,13109,13105,14102,13107,12202,14211,10203,8,7,3,1,10,5,2,9,8,7,3,17,1,4,10,7,9,3,3,10,8,1,10,3,1,2,8,5,7,3,1,10,5,2,3,9,3,8,6,1,10,4,2,8,9,7,3,8,1,4,10,9,2,7,5,3,7,1,10,,8,2,9,3,9,5,10,5,,2,8,5,,,,,,,,,,,,,,,,,,,30114,,,,,,,,,,,,,
12201,1,12204,12203,12202,12102,11104,13104,13110,12206,12101,14209,7,2,8,1,4,6,9,5,2,7,2,8,1,4,6,7,9,2,2,8,7,1,3,6,7,9,2,7,6,3,1,11,6,7,8,2,7,5,9,3,1,7,2,7,6,5,9,7,3,7,5,8,2,6,7,3,8,1,11,6,7,1,3,7,2,8,1,6,3,7,9,2,5,6,3,3,7,5,8,2,5,7,3,11,1,6,10,7,9,2,30102,,5,1,1,1,1,1,1,,,4,3,2
16205,1,16204,16207,16208,16209,12202,12102,16201,,,,2,7,1,1,4,6,9,7,5,2,7,1,1,11,4,7,9,5,2,8,7,1,3,2,9,1,3,2,7,1,1,3,5,2,8,7,8,18,22,3,1,10,1,5,9,18,8,7,1,11,6,1,7,7,2,1,7,11,4,1,2,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,30108,,1,,,,,,,,,1,4,10
12202,1,12203,12205,12102,,,,,,,,2,7,1,2,4,3,7,3,9,2,7,1,4,2,5,2,7,9,5,7,1,2,4,3,8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30102,,4,1,1,1,1,1,1,,,1,4,6
16209,1,16208,12102,12103,16203,16207,16205,16204,16206,16201,,2,8,1,1,11,4,2,9,7,3,7,8,1,11,6,9,5,2,7,8,3,1,6,4,,9,7,2,1,7,1,6,11,1,9,7,2,1,1,1,,,2,3,7,2,7,1,1,6,,2,3,9,2,1,7,1,11,6,9,3,,2,1,,1,,,7,,,2,1,,6,1,,1,7,,,,,,,,,,,30103,,1,,,,,,,,,3,5,2
13109,2,20101,13107,13110,11101,20109,14103,14102,12102,,,5,10,8,6,10,3,2,8,9,7,2,8,1,4,6,9,4,7,2,7,8,1,6,4,7,3,9,3,8,24,1,6,10,3,7,9,3,7,26,1,3,10,7,8,5,7,8,3,1,6,10,4,8,7,7,3,6,1,6,4,7,8,4,3,7,10,1,6,4,7,8,3,,,,,,,,,,,,,,,,,,,30114,,4,1,1,1,1,1,1,,,3,4,2
10209,1,11104,10208,10202,13103,12204,14202,,,,,14,,,3,5,1,7,8,2,7,2,7,1,2,4,7,9,8,2,7,,1,10,,7,9,2,2,,,1,10,,2,8,,3,4,7,1,6,5,2,8,7,3,4,7,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,6,1,1,1,1,1,1,,,8,1,2
14210,1,14201,14209,14208,14204,14211,,,,,,2,1,10,2,4,5,2,8,5,2,1,8,6,10,,3,5,8,7,2,8,1,6,10,7,9,12,2,7,8,1,6,4,7,9,10,2,7,1,1,6,,7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30104,,3,1,1,1,1,1,,,,4,1,6
16206,1,16203,12102,14202,12202,,,,,,,7,8,2,1,3,11,7,8,3,3,8,18,1,3,11,2,3,7,3,8,7,1,6,10,7,9,3,3,8,18,1,10,11,9,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,1,,,,,,,,,4,2,3
16207,1,12102,16201,16205,16203,16208,16204,16206,,,,8,7,3,1,11,10,7,2,5,2,7,8,1,11,6,9,8,7,2,7,8,1,11,6,9,7,8,2,7,8,1,11,6,2,7,9,2,8,7,1,11,6,2,8,9,2,7,8,1,11,6,7,9,2,2,7,1,1,6,11,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,,1,,,,,,,,,4,2,3
14202,1,13110,13108,14211,12201,11104,14201,14209,,,,5,3,8,3,5,1,2,5,8,3,6,8,2,3,1,5,8,9,1,7,6,1,6,3,5,7,9,3,10,7,2,1,3,5,8,7,3,8,6,1,3,2,5,1,2,2,7,8,2,1,6,2,7,9,2,8,7,2,1,6,3,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,3,1,1,1,1,,,,,4,1,11
14208,1,,,12202,11104,,,,,,,8,2,7,1,6,3,7,3,9,11,8,12,1,3,10,9,7,2,8,1,7,1,3,10,9,3,2,8,12,12,3,10,1,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30106,,3,1,,1,1,,,,,4,3,6
14203,1,14209,14211,14202,10101,12202,,,,,,2,9,7,1,3,6,5,8,7,2,1,7,1,3,6,5,7,9,2,1,7,3,6,10,5,9,7,3,8,12,10,6,3,9,5,2,8,3,12,10,1,3,9,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30116,,3,1,1,1,1,,,,,6,2,4
15104,2,12102,15101,14101,,,,,,,,7,8,10,1,4,10,7,8,9,7,2,8,1,4,10,7,8,9,7,8,3,1,4,10,7,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30110,,2,1,,,,,,,,3,4,1
12104,2,20110,12102,15101,14101,13107,,,,,,6,5,3,1,10,5,3,8,7,2,5,6,1,10,6,8,7,9,5,3,7,1,10,4,9,8,7,5,3,4,1,10,5,9,8,3,5,3,6,1,10,5,2,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30102,,5,1,1,1,1,1,1,,,3,2,4
12101,2,15101,20112,20111,11103,11104,13102,12102,12201,15102,,7,8,3,1,3,4,9,7,2,5,10,8,1,10,4,8,2,1,5,3,8,1,10,4,8,1,4,8,23,3,1,2,5,1,5,2,5,23,8,1,3,5,4,2,1,23,8,3,1,10,5,1,4,3,2,1,6,1,3,4,8,5,2,3,1,6,3,7,10,8,2,5,23,8,5,1,7,5,2,7,5,,,,,,,,,,30111,,5,1,1,1,1,1,1,,,5,1,3
14102,2,13107,13109,11101,,,,,,,,2,7,8,1,4,5,8,7,3,1,7,2,1,4,5,7,8,9,7,3,10,1,10,4,8,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30101,,3,1,1,1,1,1,1,,,3,5,1
16204,1,16205,16208,16209,16203,16207,16201,,,,,7,2,8,1,2,4,9,3,8,2,7,1,2,4,1,9,3,7,2,7,1,4,1,11,7,9,3,2,1,8,11,1,,9,1,8,2,7,1,1,11,,9,3,1,2,1,7,1,11,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30109,,1,,,,,,,,,1,2,2
10101,2,20108,10205,10206,10207,11101,,,,,,7,4,8,1,6,10,9,2,8,1,7,4,3,1,4,7,9,5,2,7,4,4,3,6,9,8,7,2,4,8,10,4,3,9,7,9,3,7,1,1,2,4,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30117,,6,1,1,1,1,1,1,1,,5,3,6
20104,2,12103,11104,11102,,,,,,,,7,3,5,1,3,10,9,7,5,10,3,5,1,3,10,7,4,7,3,7,12,3,1,10,1,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30103,,3,1,1,1,1,,,,,1,2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30116,,5,1,1,1,1,1,1,1,1,,,
20106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,5,1,1,1,1,1,1,1,1,,,
20107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,1,1,1,1,,,
20108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30107,,8,1,1,1,1,1,1,1,1,,,
20109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30115,,6,1,1,1,1,1,1,1,1,,,
20110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30113,,5,1,1,1,1,1,1,1,1,,,
20111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30111,,5,1,1,1,1,1,1,,,,,
20112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30111,,8,1,1,1,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15103,Missy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,